GPS Date & Time,# of Sats,HDOP,Latitude,Longitude,Altitude(m),Speed(m/s),Heading(Deg),Marker,Value
2019/12/08-17:57:35:60,8,1.49,40.47394416666667,-104.96926083333334,1511.9,0.1630788888888889,38.92,Data Log,True
2019/12/08-17:57:35:70,8,1.49,40.47394416666667,-104.96926083333334,1511.8,0.1630788888888889,38.92,,
2019/12/08-17:57:35:80,8,1.49,40.4739445,-104.96926049999999,1511.8,0.12140888888888889,38.92,,
2019/12/08-17:57:35:90,8,1.49,40.473943999999996,-104.96926066666668,1511.8,0.041155555555555556,38.92,,
2019/12/08-17:57:36:00,8,1.49,40.47394366666666,-104.96926083333334,1511.9,0.07253666666666667,38.92,,
2019/12/08-17:57:36:10,8,1.49,40.473943500000004,-104.96926133333334,1511.8,0.12295222222222223,38.92,,
2019/12/08-17:57:36:20,8,1.49,40.47394283333333,-104.96926200000001,1511.8,0.15690555555555558,38.92,,
2019/12/08-17:57:36:30,8,1.49,40.47394166666666,-104.96926283333332,1511.8,0.2381877777777778,38.92,,
2019/12/08-17:57:36:40,8,1.49,40.473940999999996,-104.96926333333334,1511.8,0.26648222222222223,38.92,,
2019/12/08-17:57:36:50,8,1.49,40.47394033333333,-104.96926383333333,1511.8,0.34056222222222227,38.92,,
2019/12/08-17:57:36:60,8,1.49,40.4739395,-104.96926416666665,1511.9,0.3637122222222222,38.92,,
2019/12/08-17:57:36:70,8,1.49,40.47393866666666,-104.96926483333333,1511.8,0.4388211111111111,131.41,,
2019/12/08-17:57:36:80,8,1.49,40.47394,-104.96926416666665,1511.8,0.24230333333333334,131.41,,
2019/12/08-17:57:36:90,8,1.49,40.473940500000005,-104.969264,1511.7,0.14044333333333336,131.41,,
2019/12/08-17:57:37:00,8,1.49,40.47394083333334,-104.969264,1511.6,0.11420666666666668,131.41,,
2019/12/08-17:57:37:10,8,1.49,40.47394083333334,-104.96926383333333,1511.6,0.06636333333333334,131.41,,
2019/12/08-17:57:37:20,8,1.49,40.473940500000005,-104.96926366666666,1511.7,0.04681444444444444,131.41,,
2019/12/08-17:57:37:30,8,1.49,40.47394,-104.969264,1511.7,0.1316977777777778,131.41,,
2019/12/08-17:57:37:40,8,1.49,40.473939333333334,-104.96926433333334,1511.7,0.18108444444444444,131.41,,
2019/12/08-17:57:37:50,8,1.49,40.473939,-104.96926466666667,1511.7,0.1852,131.41,,
2019/12/08-17:57:37:60,8,1.49,40.473938833333335,-104.96926533333333,1511.7,0.1918877777777778,131.41,,
2019/12/08-17:57:37:70,8,1.49,40.47393866666666,-104.96926550000002,1511.7,0.17748333333333333,131.41,,
2019/12/08-17:57:37:80,8,1.49,40.473938833333335,-104.96926566666667,1511.6,0.15690555555555558,131.41,,
2019/12/08-17:57:37:90,8,1.49,40.47393866666666,-104.96926616666666,1511.5,0.14764555555555556,131.41,,
2019/12/08-17:57:38:00,8,1.49,40.473939,-104.96926633333332,1511.4,0.18468555555555558,131.41,,
2019/12/08-17:57:38:10,8,1.49,40.47394,-104.96926583333334,1511.4,0.2001188888888889,131.41,,
2019/12/08-17:57:38:20,8,1.49,40.473940166666665,-104.969266,1511.4,0.18417111111111112,131.41,,
2019/12/08-17:57:38:30,8,1.49,40.47394033333333,-104.96926533333333,1511.4,0.1306688888888889,131.41,,
2019/12/08-17:57:38:40,8,1.49,40.47394,-104.96926533333333,1511.5,0.07613777777777778,131.41,,
2019/12/08-17:57:38:50,8,1.49,40.47394,-104.96926533333333,1511.5,0.06276222222222222,131.41,,
2019/12/08-17:57:38:60,8,1.49,40.47393983333333,-104.96926583333334,1511.4,0.09877333333333334,131.41,,
2019/12/08-17:57:38:70,8,1.49,40.47393983333333,-104.96926583333334,1511.5,0.06636333333333334,131.41,,
2019/12/08-17:57:38:80,8,1.49,40.473939333333334,-104.96926616666666,1511.5,0.03961222222222222,131.41,,
2019/12/08-17:57:38:90,8,1.49,40.47393916666667,-104.96926633333332,1511.4,0.06893555555555557,131.41,,
2019/12/08-17:57:39:00,8,1.49,40.47393916666667,-104.96926649999999,1511.4,0.09414333333333334,131.41,,
2019/12/08-17:57:39:10,8,1.49,40.4739395,-104.96926649999999,1511.4,0.13735666666666668,131.41,,
2019/12/08-17:57:39:20,8,1.49,40.47393983333333,-104.96926666666668,1511.3,0.1769688888888889,131.41,,
2019/12/08-17:57:39:30,8,1.49,40.47394033333333,-104.96926666666668,1511.3,0.17799777777777778,131.41,,
2019/12/08-17:57:39:40,8,1.49,40.47394033333333,-104.96926649999999,1511.2,0.14764555555555556,131.41,,
