GPS Date & Time,# of Sats,HDOP,Latitude,Longitude,Altitude(m),Speed(m/s),Heading(Deg),Marker,Value
2018/11/20-16:29:06:60,9,0.94,31.05100967,-97.45929333,156.2,28.25277444,56.84,Data Log,TRUE
2018/11/20-16:29:06:70,9,0.94,31.05100967,-97.45929333,156.1,28.25277444,56.84,,
2018/11/20-16:29:06:80,9,0.94,31.0510235,-97.45926867,156,28.25791889,56.83,,
2018/11/20-16:29:06:90,9,0.94,31.05103733,-97.45924367,155.9,28.27078,57.02,,
2018/11/20-16:29:07:00,9,0.94,31.05105117,-97.45921883,155.9,28.24402889,57.1,,
2018/11/20-16:29:07:10,9,0.94,31.051065,-97.459194,155.8,28.31502222,57.22,,
2018/11/20-16:29:07:20,10,0.94,31.05107867,-97.45916883,155.7,28.33662889,57.38,,
2018/11/20-16:29:07:30,10,0.85,31.0510925,-97.45914383,155.6,28.31347889,57.37,,
2018/11/20-16:29:07:40,10,0.85,31.05110617,-97.45911883,155.5,28.34383111,57.45,,
2018/11/20-16:29:07:50,10,0.85,31.05111983,-97.45909383,155.5,28.33045556,57.57,,
2018/11/20-16:29:07:60,10,0.85,31.0511335,-97.45906867,155.4,28.35514889,57.58,,
2018/11/20-16:29:07:70,10,0.85,31.05114717,-97.4590435,155.3,28.37727,57.78,,
2018/11/20-16:29:07:80,10,0.85,31.05116067,-97.45901833,155.3,28.40916556,57.88,,
2018/11/20-16:29:07:90,10,0.85,31.05117417,-97.45899317,155.2,28.37264,58.07,,
2018/11/20-16:29:08:00,10,0.85,31.05118767,-97.45896783,155.2,28.44157556,58.06,,
2018/11/20-16:29:08:10,10,0.85,31.05120117,-97.4589425,155.1,28.43385889,58.2,,
2018/11/20-16:29:08:20,10,0.85,31.05121467,-97.45891717,155.1,28.45855222,58.16,,
2018/11/20-16:29:08:30,10,0.85,31.05122817,-97.458892,155,28.42614222,58.18,,
2018/11/20-16:29:08:40,10,0.85,31.05124167,-97.45886667,155,28.44157556,58.27,,
2018/11/20-16:29:08:50,10,0.85,31.05125517,-97.45884117,154.9,28.46935556,58.42,,
2018/11/20-16:29:08:60,10,0.85,31.0512685,-97.45881583,154.9,28.50176556,58.34,,
2018/11/20-16:29:08:70,10,0.85,31.051282,-97.45879033,154.8,28.55012333,58.38,,
2018/11/20-16:29:08:80,10,0.85,31.0512955,-97.45876483,154.8,28.51359778,58.4,,
2018/11/20-16:29:08:90,10,0.85,31.051309,-97.4587395,154.8,28.50382333,58.41,,
2018/11/20-16:29:09:00,10,0.85,31.05132233,-97.458714,154.7,28.51154,58.38,,
2018/11/20-16:29:09:10,10,0.85,31.05133583,-97.4586885,154.7,28.58459111,58.41,,
2018/11/20-16:29:09:20,10,0.85,31.05134933,-97.458663,154.6,28.57275889,58.4,,
2018/11/20-16:29:09:30,10,0.85,31.05136283,-97.45863767,154.6,28.57378778,58.4,,
2018/11/20-16:29:09:40,10,0.85,31.05137633,-97.45861217,154.6,28.59025,58.37,,
2018/11/20-16:29:09:50,10,0.85,31.05138983,-97.45858667,154.6,28.55835444,58.43,,
2018/11/20-16:29:09:60,10,0.85,31.05140333,-97.45856117,154.6,28.64015111,58.38,,
2018/11/20-16:29:09:70,10,0.85,31.051417,-97.45853567,154.5,28.62111667,58.3,,
2018/11/20-16:29:09:80,10,0.85,31.0514305,-97.45851017,154.5,28.62317444,58.34,,
2018/11/20-16:29:09:90,10,0.85,31.051444,-97.4584845,154.5,28.64889667,58.4,,
2018/11/20-16:29:10:00,10,0.85,31.0514575,-97.458459,154.5,28.62729,58.3,,
2018/11/20-16:29:10:10,10,0.85,31.051471,-97.4584335,154.5,28.60979889,58.46,,
2018/11/20-16:29:10:20,10,0.85,31.05148467,-97.458408,154.4,28.64941111,58.29,,
2018/11/20-16:29:10:30,10,0.85,31.05149817,-97.4583825,154.4,28.54086333,58.27,,
2018/11/20-16:29:10:40,10,0.85,31.05151167,-97.458357,154.4,28.63912222,58.33,,
2018/11/20-16:29:10:50,10,0.85,31.05152517,-97.4583315,154.4,28.61700111,58.35,,
2018/11/20-16:29:10:60,10,0.85,31.05153883,-97.458306,154.4,28.59385111,58.29,,
2018/11/20-16:29:10:70,10,0.85,31.05155217,-97.4582805,154.4,28.53366111,58.4,,
2018/11/20-16:29:10:80,10,0.85,31.05156567,-97.45825517,154.4,28.49353444,58.25,,
2018/11/20-16:29:10:90,10,0.85,31.05157917,-97.45822983,154.4,28.46009556,58.42,,
2018/11/20-16:29:11:00,10,0.85,31.051593,-97.45820433,154.4,28.69571111,57.75,,
2018/11/20-16:29:11:10,10,0.85,31.0516065,-97.45817883,154.3,28.53469,58.26,,
2018/11/20-16:29:11:20,10,0.85,31.05162,-97.45815333,154.3,28.51719889,58.55,,
2018/11/20-16:29:11:30,10,0.85,31.05163333,-97.458128,154.3,28.47244222,58.31,,
2018/11/20-16:29:11:40,10,0.85,31.05164683,-97.45810267,154.3,28.40196333,58.34,,
