GPS Date & Time,# of Sats,HDOP,Latitude,Longitude,Altitude(m),Speed(m/s),Heading(Deg),Marker,Value
2019/12/14-00:11:36:60,7,1.27,40.473931500000006,-104.96929399999999,1508.2,0.01852,0.0,Data Log,True
2019/12/14-00:11:36:70,7,1.27,40.473931500000006,-104.96929399999999,1508.2,0.01852,0.0,,
2019/12/14-00:11:36:80,7,1.27,40.47393133333333,-104.96929416666666,1508.2,0.04372777777777778,0.0,,
2019/12/14-00:11:36:90,7,1.27,40.47393133333333,-104.96929433333335,1508.2,0.036525555555555554,0.0,,
2019/12/14-00:11:37:00,7,1.27,40.47393133333333,-104.96929416666666,1508.2,0.014404444444444445,0.0,,
2019/12/14-00:11:37:10,7,1.27,40.47393116666667,-104.96929433333335,1508.1,0.016462222222222225,0.0,,
2019/12/14-00:11:37:20,7,1.27,40.47393116666667,-104.96929433333335,1508.1,0.015433333333333334,0.0,,
2019/12/14-00:11:37:30,7,1.27,40.473931,-104.96929433333335,1508.1,0.03961222222222222,0.0,,
2019/12/14-00:11:37:40,7,1.27,40.47393116666667,-104.96929433333335,1508.1,0.06430555555555556,0.0,,
2019/12/14-00:11:37:50,7,1.27,40.473931,-104.96929433333335,1508.1,0.024693333333333334,0.0,,
2019/12/14-00:11:37:60,7,1.27,40.473931,-104.96929433333335,1508.1,0.005658888888888889,0.0,,
2019/12/14-00:11:37:70,7,1.27,40.473931,-104.96929433333335,1508.1,0.022635555555555555,0.0,,
2019/12/14-00:11:37:80,7,1.27,40.473931,-104.96929416666666,1508.1,0.04732888888888889,0.0,,
2019/12/14-00:11:37:90,7,1.27,40.473931,-104.96929416666666,1508.1,0.007716666666666667,0.0,,
2019/12/14-00:11:38:00,7,1.27,40.473930833333334,-104.96929399999999,1508.1,0.04372777777777778,0.0,,
2019/12/14-00:11:38:10,7,1.27,40.473931,-104.96929399999999,1508.1,0.06070444444444444,0.0,,
2019/12/14-00:11:38:20,7,1.27,40.473930833333334,-104.96929399999999,1508.1,0.0036011111111111114,0.0,,
2019/12/14-00:11:38:30,7,1.27,40.473930833333334,-104.96929399999999,1508.1,0.02675111111111111,0.0,,
2019/12/14-00:11:38:40,7,1.27,40.473930833333334,-104.96929383333332,1508.1,0.017491111111111114,0.0,,
2019/12/14-00:11:38:50,7,1.27,40.473930833333334,-104.96929383333332,1508.1,0.03138111111111111,0.0,,
2019/12/14-00:11:38:60,7,1.27,40.473930833333334,-104.96929383333332,1508.1,0.01954888888888889,0.0,,
2019/12/14-00:11:38:70,7,1.27,40.47393066666667,-104.96929383333332,1508.1,0.012346666666666667,0.0,,
2019/12/14-00:11:38:80,7,1.27,40.47393066666667,-104.96929383333332,1508.1,0.006173333333333334,0.0,,
2019/12/14-00:11:38:90,7,1.27,40.47393066666667,-104.96929383333332,1508.1,0.007716666666666667,0.0,,
2019/12/14-00:11:39:00,7,1.27,40.47393066666667,-104.96929383333332,1508.1,0.014404444444444445,0.0,,
2019/12/14-00:11:39:10,7,1.27,40.47393066666667,-104.96929383333332,1508.1,0.016976666666666668,0.0,,
2019/12/14-00:11:39:20,7,1.27,40.47393066666667,-104.96929366666667,1508.1,0.05298777777777778,0.0,,
2019/12/14-00:11:39:30,7,1.27,40.47393066666667,-104.96929366666667,1508.1,0.04012666666666667,0.0,,
2019/12/14-00:11:39:40,7,1.27,40.47393066666667,-104.96929383333332,1508.1,0.037554444444444446,0.0,,
2019/12/14-00:11:39:50,7,1.27,40.4739305,-104.96929399999999,1508.0,0.041670000000000006,0.0,,
2019/12/14-00:11:39:60,7,1.27,40.4739305,-104.96929399999999,1508.1,0.015433333333333334,0.0,,
2019/12/14-00:11:39:70,7,1.27,40.4739305,-104.96929399999999,1508.1,0.008745555555555557,0.0,,
2019/12/14-00:11:39:80,7,1.27,40.4739305,-104.96929383333332,1508.1,0.04732888888888889,0.0,,
2019/12/14-00:11:39:90,7,1.27,40.4739305,-104.96929399999999,1508.0,0.021092222222222224,0.0,,
2019/12/14-00:11:40:00,7,1.27,40.4739305,-104.96929416666666,1508.0,0.019034444444444444,0.0,,
2019/12/14-00:11:40:10,7,1.27,40.4739305,-104.96929416666666,1508.0,0.03601111111111112,0.0,,
2019/12/14-00:11:40:20,7,1.27,40.4739305,-104.96929416666666,1508.0,0.021092222222222224,0.0,,
2019/12/14-00:11:40:30,7,1.27,40.4739305,-104.96929399999999,1508.0,0.036525555555555554,0.0,,
2019/12/14-00:11:40:40,7,1.27,40.4739305,-104.96929399999999,1508.0,0.0463,0.0,,
2019/12/14-00:11:40:50,7,1.27,40.4739305,-104.96929399999999,1508.0,0.0426988888888889,0.0,,
2019/12/14-00:11:40:60,7,1.27,40.4739305,-104.96929399999999,1508.0,0.028294444444444445,0.0,,
2019/12/14-00:11:40:70,7,1.27,40.4739305,-104.96929399999999,1508.0,0.014404444444444445,0.0,,
2019/12/14-00:11:40:80,7,1.27,40.473930333333335,-104.96929399999999,1508.0,0.019034444444444444,0.0,,
2019/12/14-00:11:40:90,7,1.27,40.473930333333335,-104.96929399999999,1508.0,0.020063333333333336,0.0,,
2019/12/14-00:11:41:00,7,1.27,40.473930333333335,-104.96929399999999,1508.0,0.03292444444444445,0.0,,
2019/12/14-00:11:41:10,7,1.27,40.473930333333335,-104.96929416666666,1508.0,0.03704,0.0,,
