GPS Date & Time,# of Sats,HDOP,Latitude,Longitude,Altitude(m),Speed(m/s),Heading(Deg),Marker,Value
2020/05/28-21:37:08:40,11,0.84,40.06102766666667,-105.21049516666666,1588.1,7.850936666666667,268.58,Data Log,True
2020/05/28-21:37:08:50,11,0.84,40.06102766666667,-105.21049516666666,1588.1,7.850936666666667,268.58,,
2020/05/28-21:37:08:60,11,0.84,40.06102766666667,-105.210504,1588.2,7.69608888888889,269.01,,
2020/05/28-21:37:08:70,11,0.84,40.06102766666667,-105.21051316666666,1588.2,7.650303333333334,269.66,,
2020/05/28-21:37:08:80,11,0.84,40.0610275,-105.21052283333331,1588.2,8.047454444444446,268.78,,
2020/05/28-21:37:08:90,11,0.84,40.06102766666667,-105.21053166666667,1588.2,7.741874444444445,270.55,,
2020/05/28-21:37:09:00,11,0.84,40.0610275,-105.21054066666666,1588.2,7.642072222222223,269.39,,
2020/05/28-21:37:09:10,11,0.84,40.06102766666667,-105.21055016666666,1588.2,7.919872222222223,270.77,,
2020/05/28-21:37:09:20,11,0.84,40.06102733333333,-105.21055833333334,1588.2,7.467161111111112,269.04,,
2020/05/28-21:37:09:30,11,0.84,40.06102733333333,-105.21056716666665,1588.3,7.633326666666667,269.66,,
2020/05/28-21:37:09:40,11,0.84,40.061026999999996,-105.210576,1588.3,7.564905555555556,268.37,,
2020/05/28-21:37:09:50,11,0.84,40.06102666666666,-105.21058483333333,1588.4,7.670366666666667,268.21,,
2020/05/28-21:37:09:60,11,0.84,40.06102633333333,-105.21059366666665,1588.4,7.542784444444446,267.62,,
2020/05/28-21:37:09:70,11,0.91,40.06102616666667,-105.21060266666667,1588.5,7.600916666666667,268.44,,
2020/05/28-21:37:09:80,11,0.84,40.061026,-105.21061149999998,1588.5,7.5494722222222235,268.17,,
2020/05/28-21:37:09:90,11,0.91,40.061026,-105.21062033333334,1588.4,7.44967,268.66,,
2020/05/28-21:37:10:00,11,0.91,40.06102583333333,-105.21062916666666,1588.4,7.429606666666667,268.27,,
2020/05/28-21:37:10:10,11,0.91,40.061025666666666,-105.21063783333332,1588.5,7.52477888888889,268.89,,
2020/05/28-21:37:10:20,11,0.91,40.06102533333333,-105.21064683333334,1588.5,7.6106911111111115,268.11,,
2020/05/28-21:37:10:30,11,0.91,40.061025,-105.21065516666667,1588.5,7.329804444444445,267.52,,
2020/05/28-21:37:10:40,11,0.84,40.06102516666667,-105.210664,1588.5,7.385878888888889,268.63,,
2020/05/28-21:37:10:50,11,0.84,40.061025,-105.21067283333332,1588.5,7.57931,268.78,,
2020/05/28-21:37:10:60,11,0.84,40.0610245,-105.21068133333334,1588.6,7.47847888888889,267.2,,
2020/05/28-21:37:10:70,11,0.84,40.061023500000005,-105.21068916666667,1588.7,7.228973333333333,265.69,,
2020/05/28-21:37:10:80,11,0.84,40.06102283333333,-105.21069716666668,1588.8,7.094703333333334,264.77,,
2020/05/28-21:37:10:90,11,1.05,40.0610225,-105.21070583333334,1588.8,7.169297777777778,265.99,,
2020/05/28-21:37:11:00,11,0.84,40.06102216666667,-105.21071416666668,1588.9,7.185245555555556,266.5,,
2020/05/28-21:37:11:10,11,0.91,40.06102133333333,-105.21072199999999,1589.0,7.0412011111111115,265.65,,
2020/05/28-21:37:11:20,11,0.84,40.061020666666664,-105.21073016666666,1588.9,6.940884444444445,262.8,,
2020/05/28-21:37:11:30,11,0.84,40.06102033333333,-105.21073849999999,1588.9,7.161066666666668,264.73,,
2020/05/28-21:37:11:40,11,0.84,40.06102016666667,-105.210747,1589.0,7.309741111111111,268.1,,
2020/05/28-21:37:11:50,11,0.84,40.06102,-105.21075533333332,1589.1,7.196048888888889,267.83,,
2020/05/28-21:37:11:60,11,0.84,40.06101983333333,-105.21076399999998,1589.0,7.191933333333334,267.56,,
2020/05/28-21:37:11:70,11,0.84,40.06101966666667,-105.21077250000002,1589.0,7.098304444444445,267.69,,
2020/05/28-21:37:11:80,11,0.84,40.06101916666667,-105.21078066666665,1589.1,7.075668888888889,266.68,,
2020/05/28-21:37:11:90,11,0.84,40.061019,-105.21078916666666,1589.1,7.113223333333334,267.25,,
2020/05/28-21:37:12:00,11,0.84,40.06101916666667,-105.21079766666665,1589.2,7.161066666666668,269.36,,
2020/05/28-21:37:12:10,11,0.84,40.061019,-105.21080566666666,1589.2,6.905387777777778,268.81,,
2020/05/28-21:37:12:20,11,0.84,40.06101866666667,-105.21081383333333,1589.2,7.005704444444445,268.21,,
2020/05/28-21:37:12:30,11,0.84,40.06101833333333,-105.21082233333333,1589.2,7.091102222222223,267.68,,
2020/05/28-21:37:12:40,11,0.84,40.06101816666667,-105.21083033333335,1589.3,6.935225555555556,268.23,,
2020/05/28-21:37:12:50,11,0.84,40.06101816666667,-105.21083916666666,1589.3,7.193991111111112,268.61,,
2020/05/28-21:37:12:60,11,0.84,40.06101783333334,-105.21084716666668,1589.4,6.955288888888889,268.92,,
2020/05/28-21:37:12:70,11,0.84,40.06101733333333,-105.21085550000001,1589.4,6.997473333333334,268.26,,
2020/05/28-21:37:12:80,11,0.84,40.061017,-105.21086349999999,1589.4,6.888411111111112,267.59,,
2020/05/28-21:37:12:90,11,0.84,40.06101716666667,-105.21087199999998,1589.4,7.02010888888889,269.42,,
2020/05/28-21:37:13:00,11,0.84,40.061017,-105.21088016666666,1589.4,6.863203333333334,268.04,,
2020/05/28-21:37:13:10,11,0.84,40.061017,-105.21088866666666,1589.4,7.1533500000000005,268.72,,
2020/05/28-21:37:13:20,11,0.84,40.061017,-105.21089733333335,1589.2,7.174442222222223,268.99,,
2020/05/28-21:37:13:30,11,0.84,40.06101666666667,-105.21090533333333,1589.3,7.064351111111112,268.12,,
2020/05/28-21:37:13:40,11,0.84,40.0610165,-105.21091383333332,1589.3,7.1672400000000005,268.16,,
2020/05/28-21:37:13:50,11,0.84,40.0610165,-105.21092166666668,1589.3,6.807643333333334,268.89,,
2020/05/28-21:37:13:60,11,0.84,40.061015833333336,-105.21093,1589.4,7.161581111111111,268.56,,
2020/05/28-21:37:13:70,11,0.84,40.06101566666667,-105.21093799999998,1589.4,6.925451111111111,268.7,,
2020/05/28-21:37:13:80,11,0.84,40.06101566666667,-105.21094616666666,1589.4,6.854972222222222,269.1,,
2020/05/28-21:37:13:90,11,0.84,40.06101566666667,-105.21095416666667,1589.4,6.839024444444445,269.38,,
2020/05/28-21:37:14:00,11,0.84,40.06101566666667,-105.21096199999998,1589.4,6.769574444444445,270.29,,
2020/05/28-21:37:14:10,11,0.84,40.061015833333336,-105.21097,1589.4,6.7690600000000005,271.19,,
2020/05/28-21:37:14:20,11,0.84,40.061015833333336,-105.21097833333333,1589.4,6.9583755555555555,269.81,,
2020/05/28-21:37:14:30,11,0.84,40.061016,-105.2109865,1589.4,6.73202,269.87,,
2020/05/28-21:37:14:40,11,0.84,40.061015833333336,-105.21099466666668,1589.4,6.755684444444444,269.59,,
2020/05/28-21:37:14:50,10,0.84,40.0610165,-105.21100283333332,1589.3,6.837995555555556,271.89,,
2020/05/28-21:37:14:60,10,0.91,40.0610165,-105.2110105,1589.3,6.549392222222223,270.81,,
2020/05/28-21:37:14:70,10,0.96,40.06101683333333,-105.21101833333333,1589.3,6.518011111111112,271.08,,
2020/05/28-21:37:14:80,10,0.91,40.061017,-105.21102649999999,1589.2,6.726361111111111,271.04,,
2020/05/28-21:37:14:90,10,0.91,40.06101733333333,-105.21103466666666,1589.2,6.679032222222223,270.76,,
2020/05/28-21:37:15:00,10,0.91,40.06101733333333,-105.21104283333334,1589.2,6.813302222222223,270.98,,
